MainWindow;Rody's Angelica Editor;Rody's Angelica Editor;Rody's Angelica Editor
mnuEditors;Редакторы;Editors;编者;Editores;Người biên tập
mnuElementsEditor;Вторая копия редактора;Another Elements Editor;打开新的EL编辑器;Outro Editor de Elements
mnuShowGShopEditor;Редактор шопа (gshop.data);Game Shop Editor (Gshop.Data);商店编辑器（gshop.data）;Editor de GShop (gshop.data)
mnuShowNPCGenEditor;Редактор расположения NPC и монстров (npcgen.data);Npcgen Editor (Npcgen.Data);NPC编辑器（npcgen.data）;Editor de NPCGen (npcgen.data)
mnuShowTasksEditor;Редактор квестов (tasks.data);Quest Editor (Tasks.Data);任务编辑器（tasks.data）;Editor de Quests (tasks.data);
mnuShowDomain2Editor;Редактор Битвы Династий (domain2.data);Realm War Editor (Domain2.Data);国战编辑器（domain2.data）;Editor de domain2.data;
mnuPathEditor;Редактировать dynamicobjects.data или path.data;Edit Dynamicobjects.Data Or Path.Data;编辑dynamicobjects.data或path.data;Editor de dynamicobjets ou path.data;
mnuPCKProtection;Защита клиентских файлов (PCK, CPK);Client Side Protection (PCK, CPK);客户端文件加密（PCK，CPK）;Proteção Client-Side (PCK, CPK);
mnuSelectAndUnpacPck;Распаковать PCK архив;Open PCK File And Unpack It To Disc;打开PCK文件并将其解压缩;Abrir arquivo PCK e descompactar;
mnuEditorsSettings;Настройки;Settings;设置;Configurações;
mnuFile;Файл;File;文件;Arquivo;
mnuOpenGameClient;Открыть папку с клиентом;Open Game Client Directory;打开游戏客户端;Abrir diretório do Jogo;
mnuOpen;Открыть;Open;打开;Abrir;
mnuOpenByCustomConfig;Открыть с собственным конфигом;Open By Custom Config
mnuProfile;Профиль;Project;常用配置;Perfil;
mnuOpenProfile;Открыть;Open Project;打开配置;Abrir Perfil;
mnuSaveProfile;Сохранить;Save Project;保存配置;Salvar Perfil;
mnuSaveProfileAs;Сохранить как;Save Project As;配置另存为;Salvar perfil Como;
mnuOpenElements;Открыть elements.data;Open Elements.Data;打开elements.data;Abrir elements.data;
mnuSaveAll;Сохранить всё;Save All;全部保存;Salvar tudo;
mnuSaveClientVersion;Сохранить для клиента;Save Client Version;保存客户端版本;Salvar versão cliente;
mnuSaveAs;Сохранить как;Save As;另存为;Salva como;
mnuElementsProtection2;Elements Ultimate Protection;Elements Ultimate Protection;Elements.data文件加密;Proteção de Elements Ultimate;
mnuProt2SaveForServer;Сохранить для сервера;Save For The Game Server;保存为游戏服务器;Salvar como servidor;
mnuProt2SaveForClient;Сохранить для клиента;Save For The Game Client (The Editor Will Not Be Able To Open The File);保存为游戏客户端（编辑器将无法打开文件）;Salvar como cliente (o editor não conseguirá abrir novamente);
mnuOpenFileLocation;Расположение файла;Open File Location;打开文件位置;Abrir localização do arquivo;
mnuSaveItemColorAs;Сохранить item_color.txt как;Save Item_Color.Txt As;保存item_color.txt为;Salvar item_color.txt como;
mnuSaveItemExtDescAs;Сохранить item_ext_desc.txt как;Save Item_Ext_Desc.Txt As;保存item_ext_desc.txt为;Salvar item_ext_desc como;
mnuExportFile;Экспорт elements.data;Export File;导出文件;Exportar arquivo;
mnuRecentProfiles;Недавние профили;Recent Projects;近期档案列表;Perfis recente;
mnuEmptyRecentProfiles;Очистить список;Empty Recent Projects;清空近期档案;Limpar perfis recente;
mnuLastFiles;Недавние файлы;Recent Files;近期文件列表;Arquivos recente;
mnuCleanLastFiles;Очистить список;Empty Recent Files;清空近期文件;Limpar arquivos recente;
mnuCloseElementsFile;Закрыть elements.data;Close Elements.Data;关闭elements.data;Fechar elements.data;
mnuCloseProfile;Закрыть профиль;Close Project;关闭项目;Fechar perfil;
mnuExit;Выход;Exit;退出;Sair;Đầu ra
mnuEdit;Правка;Edit;编辑;Editar;
mnuUndo;Отменить;Undo;撤销;Desfazer;
mnuRedo;Вернуть;Redo;恢复;Refazer;
mnuSearch;Поиск;Search;搜索;Pesquisar;
mnuAdvancedSearch;Расширенный поиск;Advanced Search;高级搜索;Pesquisa avançada;
mnuReplace;Замена значений;Replace;更换;Substituir;
mnuMainCopy;Копировать [Ctrl+Shift+C];Copy [Ctrl+Shift+C];复制[Ctrl+Shift+C];Copiar [Ctrl+Shift+C];
mnuCopyName;Копировать имя или имена;Copy Name;复制名称;Copiar Nome;
mnuCopyModel;Копировать модель;Copy Model;复制模型;Copiar modelo;
mnuCopyDrop;Копировать лут;Copy Drop;复制下降;Copiar drops;
mnuCopySelectedValues;Копировать выбранные значения;Copy Selected Values;复制选定的值;Copiar Valor Selecionado;
mnuCopyPage;Копировать текущую вкладку;Copy Page;复制页面;Copiar Página;
mnuCopyAll;Копировать всё;Copy All;全部复制;Copiar Tudo;
mnuMCopyItems;Копировать элементы;Copy Items;复制项目[Ctrl+C];Copiar items;
mnuGlobalPaste;Вставить [Ctrl+V];Paste [Ctrl+V];粘贴项目[Ctrl+V];Colar [Ctrl+V];
mnuPasteOptions;Опции вставки;Paste Special;插入选项;Colar Especial;
optPasteWithDependencies;Вставлять зависимости:;Paste With Dependencies:;粘贴依赖关系：;Colar com dependências:;
tscmbPasteDependenciesMode;815;;;;
optPasteAutoSetUniqueID;Задавать уникальный ID вставляемым предметам при совпадении;Automatically Set Unique ID To Pasted Items;自动将唯一ID设置为粘贴的项目;Setar ID unico para os itens colados automaticamente;
optPasteWithDesc;Вставлять с описанием и цветом;Paste With Item_Ext_Desc And Item_Color;粘贴item_ext_desc和item_color;Colar com item_ext_desc e item_color;
mnuImportFromFile;Импорт элементов из файла;Import From File;导出项目数据;Importar arquivo de;
mnuExportItems;Экспорт элементов;Export Items;导出项目数据;Exportar itens;
mnuScanCurrentListForErrors;Сканировать текущий лист на ошибки;Scan Current List For Errors;扫描当前列表查找错误;Escanear lista atual por erros;
mnuScanElementsForErrors;Сканировать весь elements.data на ошибки;Scan Whole Elements.Data;扫描整个elements.data查找错误;Escanear elements por errors;
